,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
260,"(21, 0, 0)","(17, 3, 0)","(16, 0, 0)","(12, 0, 10)","(8, 0, 10)",,,,,,,,,,
261,2.000016807763082,1.4657600765914585,0.0,1.3999882521787903,,,,,,,,,,,
262,"(13, 0, 0)","(9, 0, 0)","(5, 0, 0)","(1, 1, 19)","(2, 1, 19)",,,,,,,,,,
263,2.000016807763082,1.4657600765914585,0.0,1.3999882521787903,,,,,,,,,,,
264,"(17, 3, 0)","(16, 0, 0)","(12, 0, 10)","(8, 0, 10)",,,,,,,,,,,
265,2.000016807763082,1.4657600765914585,0.0,1.3999882521787903,,,,,,,,,,,
266,"(21, 0, 0)","(17, 3, 0)","(16, 0, 0)","(12, 0, 10)","(8, 0, 10)",,,,,,,,,,
267,2.0000050423483016,1.4657600765914585,0.0,1.3999882521787903,,,,,,,,,,,
268,"(20, 1, 0)","(21, 0, 0)","(17, 2, 0)","(21, 3, 0)","(20, 1, 0)","(21, 0, 0)","(17, 3, 0)","(16, 0, 0)","(12, 2, 0)","(16, 0, 0)","(12, 2, 0)","(16, 0, 0)","(12, 0, 10)","(8, 0, 10)",
269,3.6019504538189038,1.4657600765914585,0.0,2.3807404525801013,,,,,,,,,,,
270,"(5, 0, 0)","(1, 3, 0)","(0, 1, 0)","(1, 1, 19)","(2, 1, 19)",,,,,,,,,,
271,3.6019504538189038,1.4657600765914585,0.0,2.3807404525801013,,,,,,,,,,,
272,"(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,,,,,,
273,3.6019504538189038,1.4657600765914585,0.0,2.3807404525801013,,,,,,,,,,,
274,"(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,,,,,,
275,3.6019504538189038,1.4657600765914585,0.0,2.3807404525801013,,,,,,,,,,,
276,"(1, 1, 19)","(2, 1, 19)",,,,,,,,,,,,,
277,3.6019504538189038,1.4657600765914585,0.0,2.3807404525801013,,,,,,,,,,,
278,"(16, 0, 0)","(12, 0, 10)","(8, 0, 10)",,,,,,,,,,,,
279,3.6019504538189038,1.4657600765914585,0.0,2.3807404525801013,,,,,,,,,,,
