,0,1,2,3,4,5,6,7,8,9,10,11,12,13
257,1.8450016903663922,0.0,0.0,0.0,,,,,,,,,,
258,"(5, 0, 0)","(1, 1, 19)","(2, 1, 19)",,,,,,,,,,,
259,1.8450016903663922,0.0,0.0,0.0,,,,,,,,,,
260,"(22, 3, 0)","(21, 0, 0)","(17, 3, 0)","(16, 0, 0)","(12, 0, 10)","(8, 0, 10)",,,,,,,,
261,1.892958841775068,0.0,0.0,0.0,,,,,,,,,,
262,"(4, 0, 0)","(0, 1, 0)","(1, 1, 19)","(2, 1, 19)",,,,,,,,,,
263,1.892958841775068,0.0,0.0,0.0,,,,,,,,,,
264,"(13, 2, 0)","(17, 3, 0)","(16, 0, 0)","(12, 0, 10)","(8, 0, 10)",,,,,,,,,
265,1.892958841775068,0.0,0.0,0.0,,,,,,,,,,
266,"(13, 3, 0)","(12, 0, 10)","(8, 0, 10)",,,,,,,,,,,
267,1.892958841775068,0.0,0.0,0.0,,,,,,,,,,
268,"(15, 0, 0)","(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,,,
269,1.892958841775068,0.0,0.0,0.0,,,,,,,,,,
270,"(22, 3, 0)","(21, 0, 0)","(17, 3, 0)","(16, 0, 0)","(12, 0, 10)","(8, 0, 10)",,,,,,,,
271,1.9291392302637358,0.0,0.0,0.0,,,,,,,,,,
272,"(13, 3, 0)","(12, 0, 10)","(8, 0, 10)",,,,,,,,,,,
273,1.9291392302637358,0.0,0.0,0.0,,,,,,,,,,
274,"(15, 0, 0)","(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,,,
275,1.9291392302637358,0.0,0.0,0.0,,,,,,,,,,
276,"(16, 0, 0)","(12, 0, 10)","(8, 0, 10)",,,,,,,,,,,
277,1.9291392302637358,0.0,0.0,0.0,,,,,,,,,,
278,"(23, 0, 0)","(19, 0, 0)","(15, 0, 0)","(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,
279,1.9291392302637358,0.0,0.0,0.0,,,,,,,,,,
280,"(20, 1, 0)","(21, 0, 0)","(17, 3, 0)","(16, 0, 0)","(12, 0, 10)","(8, 0, 10)",,,,,,,,
281,1.953490713586238,0.0,0.0,0.0,,,,,,,,,,
282,"(3, 3, 19)","(2, 3, 19)",,,,,,,,,,,,
283,1.953490713586238,0.0,0.0,0.0,,,,,,,,,,
284,"(12, 0, 10)","(8, 0, 10)",,,,,,,,,,,,
285,1.953490713586238,0.0,0.0,0.0,,,,,,,,,,
286,"(5, 0, 0)","(1, 1, 19)","(2, 1, 19)",,,,,,,,,,,
287,1.953490713586238,0.0,0.0,0.0,,,,,,,,,,
288,"(21, 0, 0)","(17, 3, 0)","(16, 0, 0)","(12, 0, 10)","(8, 0, 10)",,,,,,,,,
289,1.964295611207932,0.0,0.0,0.0,,,,,,,,,,
290,"(13, 3, 0)","(12, 0, 10)","(8, 0, 10)",,,,,,,,,,,
291,1.964295611207932,0.0,0.0,0.0,,,,,,,,,,
292,"(13, 3, 0)","(12, 0, 10)","(8, 0, 10)",,,,,,,,,,,
293,1.964295611207932,0.0,0.0,0.0,,,,,,,,,,
294,"(9, 1, 10)","(8, 1, 10)",,,,,,,,,,,,
295,1.964295611207932,0.0,0.0,0.0,,,,,,,,,,
296,"(15, 0, 0)","(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,,,
297,1.964295611207932,0.0,0.0,0.0,,,,,,,,,,
298,"(13, 3, 0)","(12, 0, 10)","(8, 0, 10)",,,,,,,,,,,
299,1.964295611207932,0.0,0.0,0.0,,,,,,,,,,
300,"(4, 0, 0)","(0, 1, 0)","(1, 1, 19)","(2, 1, 19)",,,,,,,,,,
301,1.964295611207932,0.0,0.0,0.0,,,,,,,,,,
